facility_type,monthly_energy_kwh,renewable_energy_pct,peak_load_factor,facility_area_sqm,operational_days_year,equipment_efficiency_rating,logistics_distance_km,fuel_consumed_liters,waste_recycled_pct,water_usage_m3,annual_carbon_footprint_mt,energy_intensity_kwh_sqm,eco_composite_score,sustainability_tier
Manufacturing,1094244.4,45.8,0.89,25148.5,350,3.18,30761.1,3226.7,84.1,26659.1,3292.36,522.1,45.3,Moderate (Tier C)
Healthcare,1288818.2,24.4,0.85,31547.9,365,3.49,5374.9,3038.6,69.2,28833.7,5247.15,490.2,43.9,Moderate (Tier C)
Commercial Office,373021.5,77.0,0.73,17191.3,260,4.34,3927.7,1555.6,52.6,4835.5,892.24,260.4,68.7,Efficient (Tier B)
Data Center,454619.3,65.4,0.83,13263.4,360,3.61,4672.4,1259.5,82.2,5897.5,1071.96,411.3,55.1,Efficient (Tier B)
Manufacturing,2172439.9,66.6,0.63,72447.3,250,3.01,26486.8,4442.4,48.2,31889.6,5992.53,359.8,47.6,Moderate (Tier C)
Logistics Hub,228275.6,66.8,0.57,41786.1,320,3.62,46816.4,6484.7,86.8,4197.2,926.56,65.6,77.4,Leader (Tier A)
Commercial Office,86900.7,44.9,0.52,5806.1,240,2.89,4247.8,1525.5,83.8,839.1,358.68,179.6,48.5,Moderate (Tier C)
Commercial Office,653957.5,31.7,0.76,29969.2,240,3.27,4891.1,857.6,37.2,3778.6,2953.04,261.9,39.1,Moderate (Tier C)
Healthcare,869017.4,45.4,0.72,23836.7,365,2.82,8746.2,3949.9,45.9,34781.5,3280.51,437.5,41.5,Moderate (Tier C)
Logistics Hub,891886.6,45.2,0.69,52271.1,320,2.97,26818.5,11061.9,34.1,10392.0,4173.04,204.8,47.2,Moderate (Tier C)
Manufacturing,2234491.9,7.2,0.69,57032.7,300,4.05,34708.9,12158.7,36.8,20388.1,13226.22,470.1,26.4,High Risk (Tier D)
Data Center,1723574.0,44.3,0.87,32020.0,360,3.44,2248.4,1758.3,51.8,20321.6,5917.37,645.9,42.1,Moderate (Tier C)
Manufacturing,779508.0,32.4,0.65,33137.9,300,2.48,23166.7,6630.3,25.2,39231.0,4498.35,282.3,28.6,High Risk (Tier D)
Logistics Hub,264230.2,53.2,0.61,20838.7,365,3.06,25496.3,14277.0,75.6,1170.2,1330.34,152.2,58.0,Efficient (Tier B)
Manufacturing,1771433.9,19.9,0.81,41247.0,250,2.33,36091.8,11985.1,45.0,25785.2,9311.87,515.4,25.3,High Risk (Tier D)
Commercial Office,314450.6,75.3,0.71,22709.0,260,4.04,4423.7,2256.7,76.5,3390.9,719.05,166.2,73.9,Efficient (Tier B)
Logistics Hub,236885.3,59.3,0.46,23266.8,280,4.19,37070.1,4518.7,50.3,3654.1,1193.68,122.2,66.8,Efficient (Tier B)
Healthcare,326518.7,36.2,0.84,12109.3,365,3.5,12555.8,2461.5,44.9,7022.3,1477.07,323.6,44.8,Moderate (Tier C)
Data Center,159543.7,70.9,0.75,5483.2,365,4.34,4531.2,304.0,64.1,1559.4,367.61,349.2,57.5,Efficient (Tier B)
Logistics Hub,279567.2,20.3,0.58,41230.7,280,2.82,49394.6,10897.4,63.1,4856.9,2194.53,81.4,47.1,Moderate (Tier C)
Manufacturing,1382569.5,64.2,0.67,58933.1,250,1.91,9916.4,4436.8,42.5,38999.4,4161.03,281.5,40.0,Moderate (Tier C)
Logistics Hub,818428.9,18.9,0.61,57550.4,365,3.65,30402.0,5174.2,34.3,14304.8,4617.95,170.7,40.3,Moderate (Tier C)
Manufacturing,1614201.4,50.9,0.8,67104.5,250,3.24,38677.2,9001.1,20.5,23849.0,6553.14,288.7,39.2,Moderate (Tier C)
Data Center,1372578.9,82.6,0.78,28398.8,365,4.17,4640.9,288.5,53.3,15451.8,1842.42,580.0,60.9,Efficient (Tier B)
Logistics Hub,377609.5,46.8,0.66,71959.0,365,3.52,59650.9,13136.6,59.8,4480.2,2635.3,63.0,64.1,Efficient (Tier B)
Manufacturing,825359.0,21.7,0.73,19370.9,350,2.93,29318.3,3257.2,74.3,13730.2,3496.46,511.3,37.8,Moderate (Tier C)
Manufacturing,2421452.7,69.2,0.82,60954.8,250,2.93,27622.3,9789.0,28.7,37500.2,5471.2,476.7,38.7,Moderate (Tier C)
Logistics Hub,296565.2,67.2,0.72,58648.3,365,2.81,50704.6,16809.0,86.0,4921.3,1445.92,60.7,68.6,Efficient (Tier B)
Logistics Hub,1283076.9,22.9,0.59,75993.5,320,2.51,17741.1,10003.7,53.7,9868.9,7277.55,202.6,34.7,High Risk (Tier D)
Commercial Office,136998.4,85.8,0.55,6890.2,260,2.82,2915.6,1488.6,48.7,844.2,275.13,238.6,55.7,Efficient (Tier B)
Commercial Office,521491.9,26.1,0.71,27552.4,240,3.72,7039.0,1749.7,52.8,3677.5,2650.01,227.1,43.4,Moderate (Tier C)
Commercial Office,62754.9,48.3,0.73,7479.8,260,2.69,4121.7,1333.8,62.1,2608.6,354.6,100.7,55.9,Efficient (Tier B)
Data Center,548131.0,82.0,0.85,20812.1,360,4.0,3746.7,210.7,59.6,11560.4,1007.02,316.0,65.1,Efficient (Tier B)
Data Center,327725.9,86.0,0.88,8248.7,360,4.34,3242.5,1358.4,61.4,2085.3,439.76,476.8,65.2,Efficient (Tier B)
Manufacturing,876779.0,62.8,0.72,30369.0,350,2.65,37405.0,5193.9,84.2,14990.4,2249.03,346.5,53.6,Moderate (Tier C)
Healthcare,770928.3,11.6,0.75,28604.6,365,3.14,11904.5,4822.1,50.9,38977.5,4420.87,323.4,28.9,High Risk (Tier D)
Commercial Office,102168.1,64.6,0.72,7999.2,240,3.69,3879.0,127.9,63.5,2136.1,320.55,153.3,68.0,Efficient (Tier B)
Data Center,1218893.4,24.3,0.72,27088.4,365,4.36,3234.7,909.2,78.2,9729.8,5175.23,540.0,47.6,Moderate (Tier C)
Commercial Office,353718.4,15.9,0.58,20071.2,240,4.24,5365.2,1629.9,70.3,5339.5,1938.05,211.5,48.1,Moderate (Tier C)
Healthcare,954669.0,38.6,0.85,21913.5,365,3.98,5278.4,1859.3,36.3,16970.4,3686.27,522.8,38.3,Moderate (Tier C)
Manufacturing,867717.9,53.3,0.89,43470.4,250,3.32,6893.0,2494.7,75.4,22853.2,2833.08,239.5,54.3,Moderate (Tier C)
Commercial Office,272801.3,21.3,0.59,17657.2,240,3.65,4846.5,788.0,28.4,3709.6,1875.46,185.4,36.6,Moderate (Tier C)
Commercial Office,82230.1,23.5,0.49,9096.8,240,3.88,2694.1,1741.3,59.7,3078.7,540.34,108.5,54.7,Moderate (Tier C)
Commercial Office,97753.1,68.3,0.63,4835.4,260,2.76,7977.4,1121.3,48.7,988.7,314.39,242.6,55.0,Efficient (Tier B)
Manufacturing,1836861.3,27.1,0.82,64162.8,300,4.08,34428.7,4540.6,83.4,27638.6,7476.84,343.5,45.5,Moderate (Tier C)
Healthcare,549642.6,59.1,0.66,17502.8,365,3.59,9427.2,5756.2,50.1,16949.8,1770.8,376.8,44.4,Moderate (Tier C)
Healthcare,265066.6,22.1,0.79,9509.0,365,4.7,13168.7,1987.4,70.7,6106.0,1347.82,334.5,45.5,Moderate (Tier C)
Commercial Office,487695.0,42.3,0.59,25874.7,260,2.91,6685.1,762.7,80.7,9809.3,1705.57,226.2,51.9,Moderate (Tier C)
Commercial Office,143740.9,69.2,0.49,9454.5,240,3.35,6055.8,1982.0,38.3,3110.4,551.52,182.4,53.3,Moderate (Tier C)
Healthcare,650951.0,68.8,0.73,20504.9,365,4.31,6281.6,1518.8,32.4,17202.5,1691.34,381.0,55.6,Efficient (Tier B)
Logistics Hub,582347.0,73.8,0.42,54790.3,320,3.7,54322.0,5677.5,78.9,7682.6,1601.83,127.5,75.3,Leader (Tier A)
Manufacturing,1670021.4,15.1,0.76,43778.4,350,2.68,33646.6,3625.0,72.7,24610.7,7717.46,457.8,31.6,High Risk (Tier D)
Commercial Office,148574.6,57.2,0.78,8234.2,240,4.35,2291.8,200.4,51.1,2364.6,472.05,216.5,62.8,Efficient (Tier B)
Commercial Office,314627.7,87.1,0.54,20029.0,240,3.58,5430.8,2248.2,52.0,4364.0,706.95,188.5,67.8,Efficient (Tier B)
Data Center,1148011.7,59.9,0.94,23032.5,365,4.07,3603.2,1422.6,83.8,8092.9,2810.01,598.1,58.3,Efficient (Tier B)
Logistics Hub,702556.8,38.8,0.53,45880.1,320,2.9,58273.8,11160.5,51.3,9028.5,3531.53,183.8,42.6,Moderate (Tier C)
Healthcare,697255.4,20.1,0.79,23065.1,365,3.89,8463.0,1500.9,26.9,21812.3,3450.88,362.8,36.5,Moderate (Tier C)
Healthcare,1493036.6,32.1,0.81,42507.9,365,3.6,13816.8,4117.2,72.8,52968.5,6527.15,421.5,40.6,Moderate (Tier C)
Commercial Office,498341.5,72.8,0.51,24972.9,240,2.8,2494.2,1152.3,65.4,2724.2,1085.14,239.5,57.4,Efficient (Tier B)
Manufacturing,1540466.7,52.3,0.78,49088.4,250,1.82,22172.9,6894.6,65.6,19760.6,4954.94,376.6,45.2,Moderate (Tier C)
Healthcare,1324918.7,66.0,0.65,34673.0,365,4.71,12584.7,5500.7,64.5,14465.9,2917.23,458.5,58.5,Efficient (Tier B)
Logistics Hub,431283.4,71.3,0.66,69419.2,365,3.51,33594.2,16275.8,60.7,5221.1,2334.17,74.6,71.3,Efficient (Tier B)
Manufacturing,720558.3,9.5,0.81,36283.7,300,3.94,28320.7,12907.0,46.2,41646.1,5049.04,238.3,40.6,Moderate (Tier C)
Healthcare,250391.2,45.4,0.78,8868.0,365,4.62,13005.2,1463.0,49.3,4454.7,969.03,338.8,47.4,Moderate (Tier C)
Healthcare,758634.7,38.6,0.88,17856.0,365,3.61,13573.9,2796.5,26.7,21614.6,3103.28,509.8,32.2,High Risk (Tier D)
Commercial Office,401749.7,46.1,0.71,27982.2,240,2.85,5188.6,912.7,26.0,3860.0,1829.32,172.3,50.4,Moderate (Tier C)
Commercial Office,388067.0,38.1,0.5,25549.3,260,4.6,4169.0,1180.6,27.8,4083.1,2091.86,182.3,54.0,Moderate (Tier C)
Data Center,808974.2,32.3,0.78,24006.1,365,4.61,3908.3,842.5,54.0,19053.9,3187.2,404.4,44.6,Moderate (Tier C)
Manufacturing,1687902.7,25.2,0.7,60196.8,250,1.92,16857.6,5361.6,40.1,25969.8,8578.28,336.5,24.2,High Risk (Tier D)
Data Center,996257.5,94.7,0.8,20656.5,365,4.62,4894.3,1360.4,89.1,7575.2,446.8,578.8,74.6,Efficient (Tier B)
Logistics Hub,760816.2,53.9,0.69,48369.7,320,4.18,43965.6,12530.3,77.7,6939.7,2765.95,188.8,66.1,Efficient (Tier B)
Manufacturing,2117995.0,11.2,0.77,72987.4,350,3.6,30196.8,2214.0,21.7,57444.4,12611.83,348.2,27.8,High Risk (Tier D)
Data Center,978536.8,24.0,0.79,28735.9,360,4.5,1125.3,654.3,59.3,18364.1,4397.6,408.6,45.3,Moderate (Tier C)
Data Center,482175.4,90.5,0.88,12946.0,365,4.81,3209.8,1087.4,59.6,8692.6,563.04,446.9,64.8,Efficient (Tier B)
Commercial Office,149585.8,30.6,0.62,8996.5,240,3.49,1867.5,2361.5,47.0,2937.6,869.15,199.5,42.7,Moderate (Tier C)
Healthcare,1419321.4,48.0,0.84,37957.9,365,3.68,11314.2,2809.8,73.7,24004.2,4070.88,448.7,51.4,Moderate (Tier C)
Data Center,588956.9,61.4,0.87,14318.0,365,4.77,2624.5,889.2,88.4,5021.3,1256.75,493.6,69.1,Efficient (Tier B)
Data Center,572911.6,77.0,0.8,14739.8,365,3.7,4443.9,563.0,86.0,3639.9,822.68,466.4,63.6,Efficient (Tier B)
Logistics Hub,411881.7,14.9,0.64,25572.4,365,2.73,39600.6,13930.2,78.2,1534.5,2410.33,193.3,45.9,Moderate (Tier C)
Commercial Office,281888.0,20.7,0.67,24652.9,260,4.3,1938.3,220.2,41.0,8926.6,1619.43,137.2,49.0,Moderate (Tier C)
Manufacturing,1505929.3,42.4,0.86,55195.7,350,1.83,17026.2,8936.9,77.0,35233.9,5148.32,327.4,39.9,Moderate (Tier C)
Commercial Office,322981.3,62.5,0.61,27549.6,240,2.66,4850.3,1827.3,43.6,3533.8,1308.46,140.7,54.7,Moderate (Tier C)
Manufacturing,1861199.5,26.1,0.64,59675.9,350,1.86,32477.1,5528.0,30.9,47973.7,7195.64,374.3,21.8,High Risk (Tier D)
Manufacturing,801098.9,9.2,0.76,36466.3,250,3.41,8474.5,10420.6,39.8,12667.6,4675.09,263.6,37.3,Moderate (Tier C)
Commercial Office,460212.6,58.7,0.72,27104.0,260,3.71,4381.0,2318.5,51.1,7175.1,1459.77,203.8,60.9,Efficient (Tier B)
Data Center,1747309.1,40.1,0.77,33472.4,360,4.12,767.8,692.0,76.4,25264.9,6049.07,626.4,47.6,Moderate (Tier C)
Healthcare,1195458.2,33.1,0.79,44981.4,365,4.19,4140.2,1573.1,59.3,40570.4,5225.57,318.9,42.5,Moderate (Tier C)
Data Center,418213.6,48.1,0.7,7085.3,360,4.94,3722.3,781.7,74.4,2771.9,1228.19,708.3,56.1,Efficient (Tier B)
Commercial Office,64918.1,20.7,0.75,6098.4,260,4.05,6688.9,831.7,68.0,2421.4,390.83,127.7,50.1,Moderate (Tier C)
Commercial Office,207378.3,42.0,0.61,14550.4,240,4.7,7443.4,2282.2,55.2,3690.7,998.4,171.0,60.4,Efficient (Tier B)
Manufacturing,2277087.7,31.2,0.66,54843.2,300,3.4,30820.5,6756.3,64.8,20295.0,8586.03,498.2,35.7,Moderate (Tier C)
Commercial Office,212925.0,22.5,0.45,20787.9,260,4.57,5178.2,113.5,48.6,3240.7,1368.19,122.9,57.5,Efficient (Tier B)
Manufacturing,694262.9,10.2,0.7,42587.8,300,4.05,27873.9,9006.7,50.2,20816.8,4448.42,195.6,44.9,Moderate (Tier C)
Healthcare,688685.5,11.5,0.89,30777.6,365,4.76,9090.9,5740.4,22.2,18386.2,4508.87,268.5,40.5,Moderate (Tier C)
Manufacturing,811937.2,50.0,0.89,48188.3,350,2.62,37900.7,4624.9,37.9,24993.9,3735.48,202.2,48.3,Moderate (Tier C)
Data Center,390600.7,85.7,0.82,11523.4,365,4.88,3522.9,334.5,45.2,5489.9,590.9,406.8,64.5,Efficient (Tier B)
Manufacturing,3228972.4,47.3,0.62,74276.9,300,2.22,14095.2,4708.3,63.6,23682.4,10094.72,521.7,38.5,Moderate (Tier C)
Healthcare,659884.7,12.6,0.67,30293.5,365,3.22,5773.8,4890.0,41.7,17428.7,3902.12,261.4,37.9,Moderate (Tier C)
Commercial Office,195496.9,63.4,0.74,13659.0,240,2.77,7597.0,1860.1,78.7,3978.2,568.14,171.8,60.0,Efficient (Tier B)
Commercial Office,75238.7,64.6,0.69,4993.8,240,4.53,6790.2,1497.2,71.1,872.1,264.69,180.8,71.7,Efficient (Tier B)
Manufacturing,301345.1,8.6,0.85,10695.0,250,4.03,21086.3,3228.7,44.7,3800.5,1808.54,338.1,30.8,High Risk (Tier D)
Logistics Hub,529187.6,11.0,0.66,36920.5,320,2.81,57881.0,9675.7,39.2,4336.1,3635.3,172.0,34.6,High Risk (Tier D)
Manufacturing,637413.8,55.9,0.75,37373.8,300,3.87,31392.1,7351.4,66.0,18768.9,2378.45,204.7,67.2,Efficient (Tier B)
Healthcare,586100.4,57.3,0.67,13672.0,365,2.91,4435.6,5529.2,32.5,13289.1,1899.97,514.4,40.9,Moderate (Tier C)
Manufacturing,1077953.9,33.3,0.85,41864.4,350,2.46,11103.0,12310.3,49.2,30175.4,5324.76,309.0,34.9,High Risk (Tier D)
Manufacturing,2964178.4,10.0,0.81,73175.1,300,4.33,33892.4,4285.5,45.3,51071.9,14071.57,486.1,34.2,High Risk (Tier D)
Manufacturing,1547841.7,64.0,0.7,58204.2,300,2.95,14341.7,13934.3,64.7,67570.1,4401.1,319.1,51.5,Moderate (Tier C)
Commercial Office,213204.4,51.3,0.55,10256.2,240,4.65,638.9,1150.7,57.6,1092.2,713.4,249.5,60.5,Efficient (Tier B)
Commercial Office,108417.4,54.9,0.58,11006.5,240,3.46,6747.4,2469.2,58.2,2150.5,519.67,118.2,59.1,Efficient (Tier B)
Manufacturing,2114800.6,23.9,0.81,72036.1,300,2.81,41084.9,13009.5,46.0,81948.0,10812.87,352.3,32.7,High Risk (Tier D)
Logistics Hub,692073.2,64.8,0.61,71575.7,280,3.99,17138.3,7070.1,57.3,13688.6,2573.14,116.0,68.6,Efficient (Tier B)
Commercial Office,289392.5,50.7,0.51,21546.1,240,3.48,1555.8,1331.8,46.2,5950.0,1262.26,161.2,54.4,Moderate (Tier C)
Commercial Office,200860.6,43.7,0.77,22206.2,260,3.77,3879.4,785.3,79.3,4206.1,806.34,108.5,63.5,Efficient (Tier B)
Data Center,1372661.5,19.7,0.8,34016.4,360,4.53,1431.1,1820.4,62.0,17477.2,5881.54,484.2,42.4,Moderate (Tier C)
Data Center,358366.8,48.3,0.83,11202.8,360,4.6,2057.5,510.7,59.4,2258.3,1155.13,383.9,50.5,Moderate (Tier C)
Commercial Office,186468.5,70.0,0.75,17537.5,260,3.47,1601.0,1249.6,29.8,1845.5,794.35,127.6,61.0,Efficient (Tier B)
Manufacturing,1974131.4,62.5,0.64,50892.4,300,3.73,34437.4,3659.3,33.3,59521.7,6138.69,465.5,47.9,Moderate (Tier C)
Manufacturing,414827.0,55.9,0.64,22100.7,350,4.07,17543.0,12064.5,53.2,15154.6,1934.97,225.2,62.5,Efficient (Tier B)
Healthcare,926778.3,49.6,0.84,31012.6,365,3.65,7947.0,3491.9,39.2,40781.8,3420.61,358.6,44.8,Moderate (Tier C)
Healthcare,1182855.7,44.5,0.88,32801.8,365,4.48,10416.8,2575.8,74.2,41249.4,3841.04,432.7,50.5,Moderate (Tier C)
Data Center,345270.4,90.5,0.72,12425.2,365,4.15,4663.7,464.4,88.7,9722.9,294.56,333.5,72.1,Efficient (Tier B)
Data Center,539719.7,25.7,0.89,11436.7,360,3.53,2645.8,1680.7,77.5,4149.4,2285.69,566.3,36.9,Moderate (Tier C)
Commercial Office,257440.9,67.2,0.54,16935.1,260,3.42,5115.5,976.6,86.0,3689.1,585.73,182.4,68.9,Efficient (Tier B)
Data Center,1103825.2,59.7,0.72,21270.8,365,3.07,505.1,341.9,42.1,13991.9,2663.09,622.7,36.1,Moderate (Tier C)
Manufacturing,1517205.2,73.0,0.86,41726.3,250,2.68,10433.3,4843.1,50.3,41666.0,3213.39,436.3,49.2,Moderate (Tier C)
Manufacturing,832033.3,63.0,0.69,29848.0,350,3.49,44455.3,8403.1,36.4,11992.8,2738.18,334.5,51.6,Moderate (Tier C)
Logistics Hub,1142906.5,62.6,0.64,65524.6,280,3.42,31398.4,8942.1,70.7,11615.9,3374.75,209.3,51.9,Moderate (Tier C)
Commercial Office,112696.2,33.7,0.73,7555.5,260,3.82,3485.0,974.5,71.7,783.0,512.16,179.0,58.6,Efficient (Tier B)
Manufacturing,2092172.6,65.1,0.62,49236.1,250,4.2,14798.1,10756.4,84.5,50708.9,4743.4,509.9,62.8,Efficient (Tier B)
Manufacturing,1056999.2,8.0,0.63,29112.6,250,4.0,8389.1,9475.7,78.8,8911.6,5877.78,435.7,36.4,Moderate (Tier C)
Manufacturing,1642203.8,15.8,0.85,44291.6,350,3.1,8141.1,8726.5,75.2,26524.8,8213.8,444.9,30.1,High Risk (Tier D)
Commercial Office,349794.3,36.6,0.73,16604.8,260,4.18,5328.1,904.2,74.9,1832.4,1372.05,252.8,52.5,Moderate (Tier C)
Manufacturing,848871.5,55.4,0.77,23342.7,300,3.42,8557.2,2698.0,56.1,14823.1,2329.23,436.4,43.5,Moderate (Tier C)
Manufacturing,1198553.9,17.6,0.71,37487.0,250,2.39,33565.3,6439.3,55.9,20657.9,6361.38,383.7,30.8,High Risk (Tier D)
Logistics Hub,220574.2,57.6,0.75,29005.5,365,3.94,47832.3,5403.4,79.9,5614.1,1046.39,91.3,68.6,Efficient (Tier B)
Manufacturing,199363.8,68.7,0.71,12703.7,350,2.91,42197.7,6122.4,61.0,14827.0,851.96,188.3,61.5,Efficient (Tier B)
Commercial Office,240360.2,24.2,0.46,18235.0,260,2.72,5048.1,1183.6,38.8,6957.4,1444.98,158.2,38.7,Moderate (Tier C)
Manufacturing,333981.6,45.5,0.68,11920.2,250,1.86,25875.0,9643.3,62.1,6089.7,1494.57,336.2,37.1,Moderate (Tier C)
Manufacturing,2092571.2,12.6,0.69,54647.6,250,2.08,14097.9,2037.5,50.7,31321.8,10292.51,459.5,16.6,High Risk (Tier D)
Manufacturing,2227246.5,11.4,0.82,54013.3,250,2.34,8189.5,12044.3,47.8,20039.6,10552.04,494.8,18.5,High Risk (Tier D)
Logistics Hub,401045.6,21.6,0.56,23761.9,280,3.52,45272.1,9419.8,51.0,2382.4,2323.74,202.5,47.3,Moderate (Tier C)
Healthcare,1379506.7,43.0,0.82,35446.8,365,3.27,9645.1,3767.6,47.0,33061.0,4768.96,467.0,38.2,Moderate (Tier C)
Logistics Hub,740173.3,75.3,0.44,51754.7,280,3.11,30155.7,11949.6,75.0,11195.6,1745.0,171.6,66.9,Efficient (Tier B)
Data Center,1255560.5,36.5,0.8,30288.5,360,4.9,3354.1,837.0,90.0,17022.0,4008.81,497.4,60.6,Efficient (Tier B)
Commercial Office,417067.2,86.1,0.56,26371.2,260,4.05,2927.2,291.1,56.5,7252.9,842.67,189.8,70.6,Efficient (Tier B)
Manufacturing,2759377.2,28.3,0.64,68897.1,250,4.36,20899.5,4605.7,31.5,43837.6,12533.97,480.6,36.7,Moderate (Tier C)
Data Center,967769.1,69.8,0.92,23218.0,365,4.88,2158.3,297.1,72.9,15272.4,1715.53,500.2,66.9,Efficient (Tier B)
Healthcare,543530.2,46.2,0.81,26126.1,365,3.63,9282.7,3032.5,61.2,38213.6,2083.11,249.6,52.4,Moderate (Tier C)
Manufacturing,2320605.4,52.1,0.6,70862.6,350,2.21,41489.2,12713.6,20.3,62962.2,9154.38,393.0,31.2,High Risk (Tier D)
Manufacturing,3059476.7,65.7,0.87,74016.7,250,4.39,13324.4,5734.3,53.7,73498.0,7614.16,496.0,57.9,Efficient (Tier B)
Manufacturing,1144280.0,58.0,0.69,74559.7,350,3.86,29774.1,4785.6,84.0,22431.2,3223.05,184.2,65.8,Efficient (Tier B)
Manufacturing,1804545.7,62.5,0.87,62644.4,250,3.18,10476.8,6092.2,79.5,29377.4,4516.81,345.7,56.5,Efficient (Tier B)
Manufacturing,1653798.6,57.7,0.64,44900.0,300,2.42,10925.4,9846.0,52.7,40997.7,4700.54,442.0,39.3,Moderate (Tier C)
Commercial Office,570645.3,62.5,0.73,27033.5,260,2.7,3027.5,409.6,62.6,6946.0,1549.24,253.3,55.3,Efficient (Tier B)
Data Center,725858.2,70.9,0.71,12777.2,360,4.31,2736.6,257.7,62.9,7249.6,1203.09,681.7,59.3,Efficient (Tier B)
Healthcare,924813.0,33.0,0.71,36019.9,365,3.12,6835.9,5204.5,52.4,47211.4,4112.85,308.1,39.2,Moderate (Tier C)
Logistics Hub,503217.2,25.6,0.46,61853.1,365,3.74,59163.7,8728.6,45.7,11789.6,3693.59,97.6,50.6,Moderate (Tier C)
Data Center,736653.6,31.5,0.74,20357.1,365,4.11,1781.9,243.6,76.8,11705.5,2557.67,434.2,38.5,Moderate (Tier C)
Data Center,1563959.8,16.2,0.94,27410.3,360,3.04,1622.2,1803.2,85.2,17299.1,7106.52,684.7,39.0,Moderate (Tier C)
Data Center,1081331.8,20.5,0.85,19791.1,360,3.87,1403.5,393.6,66.8,9184.6,4826.51,655.6,34.7,High Risk (Tier D)
Commercial Office,381994.9,44.8,0.69,19506.1,240,3.77,738.9,1226.3,65.6,7361.3,1474.03,235.0,51.2,Moderate (Tier C)
Data Center,1488936.5,52.0,0.83,28394.6,365,4.69,2661.1,519.4,66.9,13813.7,4532.12,629.2,53.3,Moderate (Tier C)
Commercial Office,198316.3,50.6,0.58,17085.6,240,4.57,6754.4,1428.5,50.5,4866.6,932.05,139.3,57.8,Efficient (Tier B)
Data Center,954335.2,29.3,0.8,32464.3,365,3.89,4431.5,1031.3,66.2,6905.7,3898.69,352.8,45.3,Moderate (Tier C)
Commercial Office,278289.2,50.3,0.64,13883.1,240,3.48,5199.8,1846.2,50.2,4217.6,976.88,240.5,52.2,Moderate (Tier C)
Data Center,771642.8,11.8,0.82,16278.8,365,3.19,560.4,961.1,68.6,5088.2,3760.4,568.8,30.1,High Risk (Tier D)
Data Center,711214.7,54.3,0.82,25399.4,360,4.43,3931.9,562.6,49.5,8648.9,2276.04,336.0,51.5,Moderate (Tier C)
Healthcare,541132.9,47.8,0.69,19301.0,365,3.21,12251.2,1669.4,73.7,8324.6,1623.72,336.4,46.4,Moderate (Tier C)
Logistics Hub,238991.2,59.4,0.6,36528.9,280,4.45,46509.7,11032.2,47.5,3041.5,1703.47,78.5,69.8,Efficient (Tier B)
Manufacturing,628835.0,34.1,0.86,28391.6,300,3.5,23919.2,10065.4,44.7,24033.7,3194.7,265.8,38.4,Moderate (Tier C)
Healthcare,769697.6,35.1,0.81,22163.4,365,3.7,14593.0,1236.0,20.9,17326.3,3451.98,416.7,32.1,High Risk (Tier D)
Commercial Office,144572.1,74.0,0.63,12218.8,240,3.23,2500.3,2420.8,89.0,1808.7,348.36,142.0,65.9,Efficient (Tier B)
Healthcare,327400.9,45.3,0.71,8736.4,365,2.88,7237.6,5663.1,47.6,3607.6,1263.79,449.7,39.4,Moderate (Tier C)
Logistics Hub,437224.3,76.8,0.64,71770.0,365,3.53,47105.6,16966.9,85.3,4857.9,1617.17,73.1,75.1,Leader (Tier A)
Data Center,248985.6,50.8,0.9,6620.0,365,3.86,4906.7,359.5,74.3,4987.1,749.46,451.3,52.2,Moderate (Tier C)
Manufacturing,1651105.3,74.4,0.73,63961.9,300,4.49,23234.7,10985.9,66.4,57597.2,3602.33,309.8,69.4,Efficient (Tier B)
Data Center,579809.6,51.1,0.87,9920.9,365,4.04,532.5,769.9,93.8,6015.2,1473.04,701.3,59.4,Efficient (Tier B)
Commercial Office,344888.4,20.8,0.47,26474.9,240,4.2,6545.6,770.2,71.4,5570.2,1803.92,156.3,50.7,Moderate (Tier C)
Commercial Office,18169.8,19.0,0.45,2100.2,240,3.21,7823.1,775.0,71.1,810.7,142.4,103.8,50.4,Moderate (Tier C)
Data Center,874709.7,45.9,0.76,20963.3,365,4.58,2402.4,1640.9,83.3,7384.9,2457.57,500.7,58.5,Efficient (Tier B)
Manufacturing,1230651.0,11.2,0.84,73302.1,250,3.13,39898.6,10544.8,65.1,60251.8,7704.4,201.5,42.3,Moderate (Tier C)
Logistics Hub,393005.3,77.8,0.49,25816.9,320,4.06,27906.6,9634.2,57.3,5109.2,1203.15,182.7,71.1,Efficient (Tier B)
Healthcare,1717038.8,22.1,0.87,38692.3,365,3.25,2104.4,3358.8,35.7,38092.5,7971.24,532.5,23.6,High Risk (Tier D)
Commercial Office,341640.0,81.0,0.56,23424.3,240,4.31,3327.1,340.9,82.7,6796.2,544.57,175.0,78.9,Leader (Tier A)
Manufacturing,2964424.7,13.7,0.6,72248.1,300,3.01,18847.0,6059.4,83.1,74218.3,14246.56,492.4,31.6,High Risk (Tier D)
Data Center,679796.3,76.0,0.73,21647.9,365,3.99,1302.8,1123.5,83.4,14902.7,1076.61,376.8,65.1,Efficient (Tier B)
Manufacturing,1267573.5,44.8,0.86,56021.5,250,1.85,38008.6,3712.7,36.0,32413.4,4518.87,271.5,36.5,Moderate (Tier C)
Healthcare,1061932.8,35.4,0.77,26394.2,365,4.7,13017.5,2531.8,54.4,22170.0,3996.09,482.8,48.2,Moderate (Tier C)
